Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Rhön Rock Open Air,2022-07-28,4,outdoor,Metal,"Metal
Rock",Hesse,"Wiesenfläche Oberfelder Straße Hünfeld, DE 36088",2000,59.9,119800.0
Headbangers Open Air,2022-07-28,3,outdoor,Metal,"Metal
Rock",Schleswig-Holstein,"Brande- Hörnerkirchen, DE 25364",2000,65.0,130000.0
Open Beatz Festival,2022-07-28,4,outdoor,Electronicmusic,"Electro
Hardcore(Electro)
House",Bavaria,"Puschendorfer Straße2 Herzogenaurach, DE 91074",25000,145.9,3647500.0
Schlichtenfest Open Air,2022-07-29,2,outdoor,Metal,"Folk
Gothic
Metal",Bavaria,"Guggenberg23 Ottobeuren, DE 87724",1500,36.0,54000.0
Juicy Beats Festival,2022-07-29,2,outdoor,Mixed,"Electro
Hip-Hop
Pop
Rock",Northrhine-Westphalia,"Westfalenpark Ander Buschmühle3 Dortmund, DE 44139",52000,,
Nord Open Air,2022-07-29,2,outdoor,Metal,"Metal
Punk
Rock",Northrhine-Westphalia,"Viehofer Platz Viehoferplatz1 Essen, DE 45127",3500,0.0,0.0
Afdreiht& Buten Festival,2022-07-29,2,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",LowerSaxony,"Fasanenkamp2 Goldenstedt, DE 49424",2000,,
Reggae Jam,2022-07-29,3,outdoor,Conventions,"Reggae
Ska",LowerSaxony,"Klosterpark Bersenbrück Stiftshof1 Bersenbrück, DE 49593",15000,75.0,1125000.0
Altheimer Open Air,2022-07-29,2,outdoor,Mixed,"Hip-Hop
Pop
Rock",Baden-Württemberg,"Altheimer Open- Air Gelände Vogelsangweg Altheim, DE 88499",,29.0,
Rockof Ages Festival,2022-07-29,3,outdoor,Rock,"Metal
Rock",Baden-Württemberg,"Rottenburgam Neckar, DE 72108",12000,119.0,1428000.0
Guts B L U E S Festival,2022-07-29,34,outdoor,Blues,Blues,Thuringia,"Rittergut München( Bad Berka) Tonndorfer Str.3 Bad Berka, DE 99438",,67.23,
